meter_id,household_id,timestamp,units_consumed
M012,H012,2026-04-22 05:00:00,0.191
M024,H024,2026-04-10 20:00:00,1.213
M021,H021,2026-04-07 16:00:00,0.228
M040,H040,2026-04-04 06:00:00,0.183
M018,H018,2026-04-19 21:00:00,1.054
M008,H008,2026-04-10 03:00:00,0.043
M016,H016,2026-04-10 05:00:00,0.033
M011,H011,2026-04-03 02:00:00,0.125
M007,H007,2026-04-21 09:00:00,0.174
M002,H002,2026-04-24 17:00:00,0.623
M002,H002,2026-04-26 23:00:00,0.382
M016,H016,2026-04-03 10:00:00,0.036
M017,H017,2026-04-04 00:00:00,0.092
M001,H001,2026-04-27 23:00:00,0.182
M014,H014,2026-04-28 04:00:00,0.218
M031,H031,2026-04-16 08:00:00,0.329
M035,H035,2026-04-08 23:00:00,0.489
M019,H019,2026-04-17 07:00:00,0.581
M021,H021,2026-04-08 12:00:00,0.239
M039,H039,2026-04-04 03:00:00,0.154
M034,H034,2026-04-05 11:00:00,0.401
M011,H011,2026-04-18 15:00:00,0.423
M022,H022,2026-04-01 02:00:00,0.117
M026,H026,2026-04-16 23:00:00,0.469
M035,H035,2026-04-16 15:00:00,0.481
M023,H023,2026-04-23 14:00:00,0.413
M030,H030,2026-04-04 23:00:00,0.184
M017,H017,2026-04-04 06:00:00,0.225
M021,H021,2026-04-20 15:00:00,0.229
M027,H027,2026-04-27 20:00:00,0.67
M015,H015,2026-04-20 18:00:00,0.925
M016,H016,2026-04-18 11:00:00,0.044
M005,H005,2026-04-11 14:00:00,0.135
M015,H015,2026-04-22 08:00:00,0.808
M038,H038,2026-04-09 06:00:00,0.441
M029,H029,2026-04-30 09:00:00,0.317
M024,H024,2026-04-18 17:00:00,0.707
M026,H026,2026-04-25 08:00:00,0.731
M019,H019,2026-04-11 01:00:00,0.181
M006,H006,2026-04-12 23:00:00,0.319
M003,H003,2026-04-06 11:00:00,0.203
M031,H031,2026-04-26 05:00:00,0.219
M032,H032,2026-04-07 09:00:00,0.242
M021,H021,2026-04-10 20:00:00,0.553
M025,H025,2026-04-19 07:00:00,1.085
M008,H008,2026-04-28 15:00:00,0.104
M012,H012,2026-04-09 11:00:00,0.188
M019,H019,2026-04-30 11:00:00,0.272
M018,H018,2026-04-12 20:00:00,1.391
M036,H036,2026-04-19 13:00:00,0.216
M024,H024,2026-04-07 17:00:00,0.631
M028,H028,2026-04-04 08:00:00,0.556
M016,H016,2026-04-23 22:00:00,0.072
M028,H028,2026-04-21 06:00:00,0.478
M039,H039,2026-04-07 19:00:00,1.136
M037,H037,2026-04-07 21:00:00,0.215
M007,H007,2026-04-30 20:00:00,0.475
M008,H008,2026-04-07 04:00:00,0.053
M028,H028,2026-04-13 19:00:00,1.05
M035,H035,2026-04-28 12:00:00,0.596
M014,H014,2026-04-27 08:00:00,0.624
M027,H027,2026-04-21 00:00:00,0.142
M023,H023,2026-04-07 20:00:00,1.357
M017,H017,2026-04-20 05:00:00,0.118
M039,H039,2026-04-05 22:00:00,0.987
M027,H027,2026-04-07 23:00:00,0.259
M030,H030,2026-04-30 15:00:00,0.173
M011,H011,2026-04-28 01:00:00,0.19
M033,H033,2026-04-21 21:00:00,0.459
M028,H028,2026-04-22 22:00:00,0.585
M025,H025,2026-04-20 15:00:00,0.5
M002,H002,2026-04-19 06:00:00,0.403
M038,H038,2026-04-01 01:00:00,0.18
M010,H010,2026-04-02 05:00:00,0.227
M026,H026,2026-04-08 08:00:00,0.756
M022,H022,2026-04-03 12:00:00,0.362
M010,H010,2026-04-10 09:00:00,0.325
