meter_id,hour_start,avg_kwh,min_kwh,max_kwh,sum_kwh
M015,2026-04-26 01:30:00,0.201,0.201,0.201,0.201
M015,2026-04-12 03:30:00,0.305,0.305,0.305,0.305
M015,2026-04-05 04:30:00,0.398,0.398,0.398,0.398
M015,2026-04-26 06:30:00,0.855,0.855,0.855,0.855
M015,2026-04-05 07:30:00,0.691,0.691,0.691,0.691
M015,2026-04-26 10:30:00,0.466,0.466,0.466,0.466
M015,2026-04-26 12:30:00,0.714,0.714,0.714,0.714
M015,2026-04-19 15:30:00,0.611,0.611,0.611,0.611
M015,2026-04-05 17:30:00,1.005,1.005,1.005,1.005
M015,2026-04-19 17:30:00,1.256,1.256,1.256,1.256
M015,2026-04-26 19:30:00,1.394,1.394,1.394,1.394
M015,2026-04-26 20:30:00,1.158,1.158,1.158,1.158
M015,2026-04-26 21:30:00,0.795,0.795,0.795,0.795
M015,2026-04-12 22:30:00,0.496,0.496,0.496,0.496
M015,2026-04-13 01:30:00,0.183,0.183,0.183,0.183
M015,2026-04-27 03:30:00,0.233,0.233,0.233,0.233
M015,2026-04-06 04:30:00,0.316,0.316,0.316,0.316
M015,2026-04-13 04:30:00,0.324,0.324,0.324,0.324
M015,2026-04-13 05:30:00,0.773,0.773,0.773,0.773
M015,2026-04-06 07:30:00,0.688,0.688,0.688,0.688
M015,2026-04-13 07:30:00,0.723,0.723,0.723,0.723
M015,2026-04-27 07:30:00,0.785,0.785,0.785,0.785
M015,2026-04-20 08:30:00,0.462,0.462,0.462,0.462
M015,2026-04-06 11:30:00,0.515,0.515,0.515,0.515
M015,2026-04-13 18:30:00,1.236,1.236,1.236,1.236
M015,2026-04-27 20:30:00,1.078,1.078,1.078,1.078
M015,2026-04-07 04:30:00,0.361,0.361,0.361,0.361
M015,2026-04-07 05:30:00,0.714,0.714,0.714,0.714
M015,2026-04-07 06:30:00,0.795,0.795,0.795,0.795
M015,2026-04-21 06:30:00,0.952,0.952,0.952,0.952
M015,2026-04-21 07:30:00,0.602,0.602,0.602,0.602
M015,2026-04-14 10:30:00,0.362,0.362,0.362,0.362
M015,2026-04-14 13:30:00,0.501,0.501,0.501,0.501
M015,2026-04-21 16:30:00,0.744,0.744,0.744,0.744
M015,2026-04-07 21:30:00,0.79,0.79,0.79,0.79
